insert into udvbaa values (27014, 30706, 'qozaaa', 'cxxaaa', 10639);
insert into udvbaa values (10918, 7485, 'povbaa', 'yuoaaa', 12822);
insert into udvbaa values (1293, 20741, 'jdvbaa', 'birbaa', 30063);
insert into udvbaa values (5492, 29354, 'pjvaaa', 'rbebaa', 4209);
insert into udvbaa values (16229, 4188, 'jyoaaa', 'qvjaaa', 23054);
insert into udvbaa values (22015, 25580, 'ixebaa', 'gtqaaa', 13242);
insert into udvbaa values (4216, 13307, 'romaaa', 'ijbaaa', 2762);
insert into udvbaa values (9362, 22784, 'ysabaa', 'depbaa', 16261);
insert into udvbaa values (642, 9794, 'sbhbaa', 'yzcaaa', 8382);
insert into udvbaa values (13451, 948, 'mpabaa', 'gcyaaa', 24019);
insert into udvbaa values (15494, 11012, 'ctibaa', 'qsyaaa', 9497);
insert into udvbaa values (2530, 411, 'oqlbaa', 'dbrbaa', 16557);
insert into udvbaa values (26635, 28390, 'ygsbaa', 'nslaaa', 2490);
insert into udvbaa values (30665, 9896, 'tykbaa', 'fvaaaa', 29855);
insert into udvbaa values (2063, 5867, 'zvsaaa', 'kelbaa', 2217);
insert into udvbaa values (32460, 27987, 'peabaa', 'wrebaa', 15122);
insert into udvbaa values (15509, 32348, 'qniaaa', 'pzlbaa', 27686);
insert into udvbaa values (9499, 23602, 'zvgbaa', 'dysbaa', 23442);
insert into udvbaa values (17728, 19316, 'eldaaa', 'jzebaa', 23650);
insert into udvbaa values (4581, 9844, 'okobaa', 'lesbaa', 32127);
insert into udvbaa values (11981, 14189, 'uucaaa', 'usibaa', 19748);
insert into udvbaa values (15595, 13216, 'vhcaaa', 'clgaaa', 14272);
insert into udvbaa values (17012, 25828, 'juuaaa', 'gdfbaa', 21726);
insert into udvbaa values (30134, 25719, 'hfaaaa', 'zqlaaa', 10856);
insert into udvbaa values (23407, 30647, 'lnfbaa', 'hvtaaa', 26631);
insert into udvbaa values (29202, 9725, 'nzfaaa', 'fofaaa', 13946);
insert into udvbaa values (1602, 25535, 'yzwaaa', 'efiaaa', 30390);
insert into udvbaa values (2494, 237, 'ryebaa', 'lroaaa', 21031);
insert into udvbaa values (3702, 9238, 'kosaaa', 'iohbaa', 4039);
insert into udvbaa values (21878, 8994, 'ifvbaa', 'oseaaa', 7224);
insert into udvbaa values (13016, 21201, 'btmbaa', 'obuaaa', 17437);
insert into udvbaa values (8630, 12732, 'qxnbaa', 'qxnaaa', 16263);
insert into udvbaa values (28051, 31048, 'mnmaaa', 'xtlbaa', 23990);
